Numero de documentos del corpus: 4480
Numero de palabras del corpus: 362940
Palabra: accommodations Frec: 1 LogProb: -12.304890303299254
Palabra: accompanied Frec: 15 LogProb: -10.225448761619418
Palabra: accompany Frec: 6 LogProb: -11.052127334803886
Palabra: accompanying Frec: 8 LogProb: -10.80081290652298
Palabra: accomplish Frec: 7 LogProb: -10.918595942179364
Palabra: accomplished Frec: 53 LogProb: -9.009053437294925
Palabra: accomplishedclimber Frec: 2 LogProb: -11.899425195191089
Palabra: accomplishes Frec: 8 LogProb: -10.80081290652298
Palabra: accomplishing Frec: 3 LogProb: -11.611743122739309
Palabra: accomplishment Frec: 4 LogProb: -11.388599571425098
Palabra: accomplishments Frec: 8 LogProb: -10.80081290652298
Palabra: accordance Frec: 4 LogProb: -11.388599571425098
Palabra: accorded Frec: 2 LogProb: -11.899425195191089
Palabra: according Frec: 47 LogProb: -9.126836472951307
Palabra: accordingly Frec: 2 LogProb: -11.899425195191089
Palabra: account Frec: 132 LogProb: -8.107688355637446
Palabra: accountability Frec: 2 LogProb: -11.899425195191089
Palabra: accountable Frec: 3 LogProb: -11.611743122739309
Palabra: accountancy Frec: 8 LogProb: -10.80081290652298
Palabra: accountannemarie Frec: 1 LogProb: -12.304890303299254
Palabra: accountant Frec: 5 LogProb: -11.206278014631144
Palabra: accountants Frec: 7 LogProb: -10.918595942179364
Palabra: accounting Frec: 55 LogProb: -8.97268579312405
Palabra: accountmasterly Frec: 1 LogProb: -12.304890303299254
Palabra: accounts Frec: 29 LogProb: -9.596840102197044
Palabra: accounttakes Frec: 1 LogProb: -12.304890303299254
Palabra: accouting Frec: 1 LogProb: -12.304890303299254
Palabra: accreditation Frec: 4 LogProb: -11.388599571425098
Palabra: accredited Frec: 3 LogProb: -11.611743122739309
Palabra: accretions Frec: 1 LogProb: -12.304890303299254
Palabra: accrued Frec: 2 LogProb: -11.899425195191089
Palabra: acctltpch Frec: 1 LogProb: -12.304890303299254
Palabra: accumulate Frec: 2 LogProb: -11.899425195191089
Palabra: accumulated Frec: 2 LogProb: -11.899425195191089
Palabra: accumulates Frec: 1 LogProb: -12.304890303299254
Palabra: accumulation Frec: 1 LogProb: -12.304890303299254
Palabra: accuracy Frec: 12 LogProb: -10.433088126397662
Palabra: accuracyreads Frec: 1 LogProb: -12.304890303299254
Palabra: accurate Frec: 132 LogProb: -8.107688355637446
Palabra: accurately Frec: 7 LogProb: -10.918595942179364
Palabra: accusation Frec: 2 LogProb: -11.899425195191089
Palabra: accusations Frec: 1 LogProb: -12.304890303299254
Palabra: accused Frec: 1 LogProb: -12.304890303299254
Palabra: accustomed Frec: 1 LogProb: -12.304890303299254
Palabra: acd Frec: 1 LogProb: -12.304890303299254
Palabra: acds Frec: 1 LogProb: -12.304890303299254
Palabra: ace Frec: 37 LogProb: -9.360451324132814
Palabra: aceenggpublicationsgmailcom Frec: 1 LogProb: -12.304890303299254
Palabra: acemoglu Frec: 1 LogProb: -12.304890303299254
Palabra: acetic Frec: 1 LogProb: -12.304890303299254
Palabra: acetyl Frec: 1 LogProb: -12.304890303299254
Palabra: achal Frec: 1 LogProb: -12.304890303299254
Palabra: acharya Frec: 22 LogProb: -9.86254326793005
Palabra: acharyas Frec: 1 LogProb: -12.304890303299254
Palabra: acharyashunyacom Frec: 1 LogProb: -12.304890303299254
Palabra: achchagam Frec: 1 LogProb: -12.304890303299254
Palabra: ache Frec: 2 LogProb: -11.899425195191089
Palabra: ached Frec: 1 LogProb: -12.304890303299254
Palabra: aches Frec: 2 LogProb: -11.899425195191089
Palabra: achievable Frec: 1 LogProb: -12.304890303299254
Palabra: achieve Frec: 91 LogProb: -8.47624890681016
Palabra: achieveand Frec: 1 LogProb: -12.304890303299254
Palabra: achieveby Frec: 1 LogProb: -12.304890303299254
Palabra: achieved Frec: 14 LogProb: -10.28998728275699
Palabra: achievement Frec: 68 LogProb: -8.76393097926194
Palabra: achievementpublishers Frec: 1 LogProb: -12.304890303299254
Palabra: achievements Frec: 14 LogProb: -10.28998728275699
Palabra: achievers Frec: 4 LogProb: -11.388599571425098
Palabra: achieves Frec: 4 LogProb: -11.388599571425098
Palabra: achieving Frec: 36 LogProb: -9.387119571214974
Palabra: achilles Frec: 9 LogProb: -10.695452390865153
Palabra: achillesa Frec: 1 LogProb: -12.304890303299254
Palabra: aching Frec: 2 LogProb: -11.899425195191089
Palabra: achingly Frec: 1 LogProb: -12.304890303299254
Palabra: aci Frec: 4 LogProb: -11.388599571425098
Palabra: acid Frec: 12 LogProb: -10.433088126397662
Palabra: acidbase Frec: 1 LogProb: -12.304890303299254
Palabra: acidity Frec: 4 LogProb: -11.388599571425098
Palabra: acids Frec: 7 LogProb: -10.918595942179364
Palabra: aciman Frec: 1 LogProb: -12.304890303299254
Palabra: acimans Frec: 2 LogProb: -11.899425195191089
Palabra: acing Frec: 1 LogProb: -12.304890303299254
Palabra: acirc Frec: 1 LogProb: -12.304890303299254
Palabra: ackerman Frec: 10 LogProb: -10.60014221106083
Palabra: ackermanprovides Frec: 1 LogProb: -12.304890303299254
Palabra: ackermans Frec: 1 LogProb: -12.304890303299254
Palabra: acknowledge Frec: 5 LogProb: -11.206278014631144
Palabra: acknowledged Frec: 6 LogProb: -11.052127334803886
Palabra: acknowledges Frec: 2 LogProb: -11.899425195191089
Palabra: acknowledging Frec: 2 LogProb: -11.899425195191089
Palabra: acknowledgment Frec: 2 LogProb: -11.899425195191089
Palabra: aclu Frec: 1 LogProb: -12.304890303299254
Palabra: acm Frec: 7 LogProb: -10.918595942179364
Palabra: acosta Frec: 1 LogProb: -12.304890303299254
Palabra: acoustic Frec: 1 LogProb: -12.304890303299254
Palabra: acquaint Frec: 2 LogProb: -11.899425195191089
Palabra: acquaintance Frec: 1 LogProb: -12.304890303299254
Palabra: acquaintances Frec: 1 LogProb: -12.304890303299254
Palabra: acquainted Frec: 7 LogProb: -10.918595942179364
Palabra: acquaints Frec: 1 LogProb: -12.304890303299254
Palabra: acquiescence Frec: 1 LogProb: -12.304890303299254
Palabra: acquire Frec: 6 LogProb: -11.052127334803886
Palabra: acquired Frec: 20 LogProb: -9.953515046135776
Palabra: acquiredmassive Frec: 1 LogProb: -12.304890303299254
Palabra: acquiring Frec: 3 LogProb: -11.611743122739309
Palabra: acquisition Frec: 7 LogProb: -10.918595942179364
Palabra: acquisitionpat Frec: 1 LogProb: -12.304890303299254
Palabra: acquisitionsdispositions Frec: 2 LogProb: -11.899425195191089
Palabra: acreage Frec: 1 LogProb: -12.304890303299254
Palabra: acres Frec: 3 LogProb: -11.611743122739309
Palabra: acrid Frec: 1 LogProb: -12.304890303299254
Palabra: acrimonious Frec: 1 LogProb: -12.304890303299254
Palabra: acronym Frec: 1 LogProb: -12.304890303299254
Palabra: acrosslarry Frec: 2 LogProb: -11.899425195191089
Palabra: acrylic Frec: 1 LogProb: -12.304890303299254
Palabra: act Frec: 102 LogProb: -8.363308495629564
Palabra: acted Frec: 8 LogProb: -10.80081290652298
Palabra: actfollowing Frec: 1 LogProb: -12.304890303299254
Palabra: acting Frec: 30 LogProb: -9.564050279374053
Palabra: actinglos Frec: 1 LogProb: -12.304890303299254
Palabra: action Frec: 92 LogProb: -8.465437990705944
Palabra: actionable Frec: 3 LogProb: -11.611743122739309
Palabra: actionablethat Frec: 1 LogProb: -12.304890303299254
Palabra: actionbased Frec: 1 LogProb: -12.304890303299254
Palabra: actionbright Frec: 1 LogProb: -12.304890303299254
Palabra: actionin Frec: 1 LogProb: -12.304890303299254
Palabra: actionpacked Frec: 7 LogProb: -10.918595942179364
Palabra: actions Frec: 14 LogProb: -10.28998728275699
Palabra: actionsara Frec: 1 LogProb: -12.304890303299254
Palabra: actionslike Frec: 1 LogProb: -12.304890303299254
Palabra: actionthis Frec: 1 LogProb: -12.304890303299254
Palabra: activate Frec: 3 LogProb: -11.611743122739309
Palabra: activated Frec: 1 LogProb: -12.304890303299254
Palabra: activating Frec: 1 LogProb: -12.304890303299254
Palabra: activation Frec: 3 LogProb: -11.611743122739309
Palabra: active Frec: 34 LogProb: -9.442689422369785
Palabra: actively Frec: 12 LogProb: -10.433088126397662
Palabra: activism Frec: 5 LogProb: -11.206278014631144
Palabra: activist Frec: 9 LogProb: -10.695452390865153
Palabra: activists Frec: 4 LogProb: -11.388599571425098
Palabra: activities Frec: 77 LogProb: -8.641328657169607
Palabra: activity Frec: 33 LogProb: -9.471676959243037
Palabra: activitybased Frec: 1 LogProb: -12.304890303299254
Palabra: activkids Frec: 4 LogProb: -11.388599571425098
Palabra: actor Frec: 33 LogProb: -9.471676959243037
