Numero de documentos del corpus: 4070
Numero de palabras del corpus: 290337
Palabra: advanced Frec: 29 LogProb: -9.417194636977568
Palabra: advancedall Frec: 1 LogProb: -12.125244838079778
Palabra: advantage Frec: 6 LogProb: -10.87248186958441
Palabra: advantages Frec: 2 LogProb: -11.719779729971615
Palabra: advent Frec: 4 LogProb: -11.208954106205624
Palabra: adventure Frec: 11 LogProb: -10.333485368851724
Palabra: adventures Frec: 12 LogProb: -10.253442661178187
Palabra: adventurous Frec: 1 LogProb: -12.125244838079778
Palabra: advertise Frec: 3 LogProb: -11.432097657519833
Palabra: advisable Frec: 2 LogProb: -11.719779729971615
Palabra: adyk Frec: 2 LogProb: -11.719779729971615
Palabra: aec Frec: 2 LogProb: -11.719779729971615
Palabra: aegend Frec: 1 LogProb: -12.125244838079778
Palabra: aegis Frec: 4 LogProb: -11.208954106205624
Palabra: aelicia Frec: 1 LogProb: -12.125244838079778
Palabra: aelo Frec: 2 LogProb: -11.719779729971615
Palabra: aeoss Frec: 1 LogProb: -12.125244838079778
Palabra: aerobics Frec: 11 LogProb: -10.333485368851724
Palabra: aerofit Frec: 1 LogProb: -12.125244838079778
Palabra: aesthetic Frec: 4 LogProb: -11.208954106205624
Palabra: aesthetically Frec: 3 LogProb: -11.432097657519833
Palabra: aesthetics Frec: 15 LogProb: -10.045803296399942
Palabra: af Frec: 3 LogProb: -11.432097657519833
Palabra: affair Frec: 10 LogProb: -10.420496745841353
Palabra: affect Frec: 8 LogProb: -10.621167441303504
Palabra: affected Frec: 4 LogProb: -11.208954106205624
Palabra: affection Frec: 2 LogProb: -11.719779729971615
Palabra: affects Frec: 1 LogProb: -12.125244838079778
Palabra: affeta Frec: 1 LogProb: -12.125244838079778
Palabra: afforadable Frec: 1 LogProb: -12.125244838079778
Palabra: afford Frec: 1 LogProb: -12.125244838079778
Palabra: affordability Frec: 19 LogProb: -9.822659745085733
Palabra: affordable Frec: 58 LogProb: -8.740854574734005
Palabra: affordablecupid Frec: 1 LogProb: -12.125244838079778
Palabra: affordably Frec: 1 LogProb: -12.125244838079778
Palabra: affords Frec: 1 LogProb: -12.125244838079778
Palabra: aficionados Frec: 3 LogProb: -11.432097657519833
Palabra: afloat Frec: 1 LogProb: -12.125244838079778
Palabra: africa Frec: 2 LogProb: -11.719779729971615
Palabra: africalungi Frec: 1 LogProb: -12.125244838079778
Palabra: afterdark Frec: 16 LogProb: -9.985178674583508
Palabra: afternoon Frec: 2 LogProb: -11.719779729971615
Palabra: afternoons Frec: 1 LogProb: -12.125244838079778
Palabra: aftersales Frec: 2 LogProb: -11.719779729971615
Palabra: afterservice Frec: 1 LogProb: -12.125244838079778
Palabra: afterwords Frec: 1 LogProb: -12.125244838079778
Palabra: afut Frec: 1 LogProb: -12.125244838079778
Palabra: again Frec: 16 LogProb: -9.985178674583508
Palabra: against Frec: 85 LogProb: -8.364044722386216
Palabra: age Frec: 82 LogProb: -8.399551410843126
Palabra: ageage Frec: 10 LogProb: -10.420496745841353
Palabra: agebullet Frec: 1 LogProb: -12.125244838079778
Palabra: aged Frec: 2 LogProb: -11.719779729971615
Palabra: agefree Frec: 3 LogProb: -11.432097657519833
Palabra: ageless Frec: 5 LogProb: -11.02663254941167
Palabra: agemmonths Frec: 1 LogProb: -12.125244838079778
Palabra: agemonths Frec: 6 LogProb: -10.87248186958441
Palabra: agent Frec: 1 LogProb: -12.125244838079778
Palabra: agents Frec: 1 LogProb: -12.125244838079778
Palabra: ages Frec: 24 LogProb: -9.599516193771523
Palabra: agethermo Frec: 1 LogProb: -12.125244838079778
Palabra: ageyears Frec: 20 LogProb: -9.773869580916301
Palabra: aggressive Frec: 1 LogProb: -12.125244838079778
Palabra: aging Frec: 1 LogProb: -12.125244838079778
Palabra: agree Frec: 1 LogProb: -12.125244838079778
Palabra: agreeable Frec: 3 LogProb: -11.432097657519833
Palabra: agreeing Frec: 1 LogProb: -12.125244838079778
Palabra: agreement Frec: 1 LogProb: -12.125244838079778
Palabra: agrgation Frec: 1 LogProb: -12.125244838079778
Palabra: agsplsw Frec: 1 LogProb: -12.125244838079778
Palabra: ahead Frec: 39 LogProb: -9.129512564525788
Palabra: ahhaaaa Frec: 18 LogProb: -9.873953039473284
